movie,speaker,utterance,srt_index,emotion,emotion_id,start_time,end_time
Brave,Macintosh,Men: Macintosh!,0267,neutral,4,"00:19:04,560","00:19:06,892"
Brave,Macintosh,"Your majesty, I present my heir and scion,",0268,neutral,4,"00:19:06,979","00:19:10,517"
Brave,Macintosh,"who defended our land from the northern invaders,",0269,neutral,4,"00:19:10,566","00:19:14,058"
Brave,Macintosh,"and with his own sword, stab blooder,",0270,neutral,4,"00:19:14,153","00:19:18,317"
Brave,Macintosh,Man: Huh?,0293,others,7,"00:20:30,312","00:20:32,052"
Brave,Macintosh,You're the king.,0768,surprise,6,"01:03:39,733","01:03:41,314"
Brave,Macintosh,"Well, where is she, then? She, uh...",0784,others,7,"01:04:46,466","01:04:48,707"
Brave,Macintosh,and chaos and ruin...,0795,others,7,"01:05:25,505","01:05:27,587"
Brave,Macintosh,Huh?,0846,neutral,4,"01:08:18,720","01:08:19,755"
Brave,Macintosh,"Well, since you've obviously made up your minds about this,",0847,neutral,4,"01:08:19,846","01:08:23,009"
Brave,Macintosh,"I say, the wee Dingwall has a fighting chance.",0859,others,7,"01:09:00,011","01:09:03,003"
Brave,Macintosh,"Fine, then. Seems for once we agree.",0860,surprise,6,"01:09:03,056","01:09:05,513"
Brave,Merida,She's in charge of every single day of my life.,0059,neutral,4,"00:05:50,934","00:05:53,767"
Brave,Merida,or it's all for naught.,0064,neutral,4,"00:06:07,617","00:06:09,232"
Brave,Merida,This is all for naught. I heard that!,0065,others,7,"00:06:09,286","00:06:11,777"
Brave,Merida,Whoosh!,0113,neutral,4,"00:09:41,164","00:09:42,700"
Brave,Merida,"One swipe, his sword shattered.",0114,neutral,4,"00:09:42,791","00:09:44,907"
Brave,Merida,Then chomp! Dad's leg was clean off.,0115,others,7,"00:09:45,001","00:09:48,118"
Brave,Merida,"Merida, a Princess does not place her weapons on the table.",0122,others,7,"00:10:07,565","00:10:11,353"
Brave,Merida,Mum? You'll never guess what I did today.,0127,happy,3,"00:10:22,122","00:10:24,909"
Brave,Merida,"Hm? I climbed the crone's tooth,",0128,happy,3,"00:10:24,999","00:10:27,160"
Brave,Merida,Hey!,0158,neutral,4,"00:11:44,746","00:11:46,031"
Brave,Merida,"This year, each clan will present a suitor to compete in the games for your hand.",0169,angry,0,"00:12:23,993","00:12:27,986"
Brave,Merida,"Merida, this is what you've been preparing for your whole life.",0172,angry,0,"00:12:34,087","00:12:37,124"
Brave,Merida,"No, it's what you've been preparing me for my whole life.",0173,angry,0,"00:12:37,674","00:12:41,087"
Brave,Merida,Boys!,0178,fear,2,"00:12:51,604","00:12:53,845"
Brave,Merida,Once there was an ancient kingdom...,0180,others,7,"00:13:01,823","00:13:04,189"
Brave,Merida,"Oh, mum!",0181,others,7,"00:13:04,242","00:13:06,858"
Brave,Merida,"to war, and chaos and ruin.",0189,neutral,4,"00:13:36,607","00:13:39,565"
Brave,Merida,Legends are lessons. They ring with truths.,0192,neutral,4,"00:13:43,990","00:13:47,073"
Brave,Merida,Call off the gathering. Would that kill them?,0218,angry,0,"00:15:09,242","00:15:12,325"
Brave,Merida,You're the queen.,0219,angry,0,"00:15:12,412","00:15:13,743"
Brave,Merida,You can just tell the lords the Princess is not ready for this.,0220,angry,0,"00:15:13,830","00:15:17,163"
Brave,Merida,"In fact, she might not ever be ready for this, so that's that.",0221,angry,0,"00:15:17,208","00:15:20,871"
Brave,Merida,But we can't just run away from who we are.,0225,angry,0,"00:15:31,222","00:15:34,714"
Brave,Merida,I don't want my life to be over.,0226,angry,0,"00:15:34,809","00:15:37,300"
Brave,Merida,But are you willing to pay the price your freedom will cost?,0228,neutral,4,"00:15:38,855","00:15:42,097"
Brave,Merida,"If you could just try to see what I do, I do out of love.",0230,neutral,4,"00:15:44,360","00:15:49,900"
Brave,Merida,"But it's my life, it's...",0231,neutral,4,"00:15:49,991","00:15:52,949"
Brave,Merida,"I think you'd see, if you could just...",0233,neutral,4,"00:15:55,204","00:15:57,069"
Brave,Merida,Listen. __listen.,0235,neutral,4,"00:16:00,293","00:16:01,874"
Brave,Merida,"I swear, Angus, this isn't going to happen.",0236,neutral,4,"00:16:05,214","00:16:08,377"
Brave,Merida,"Och, shush! Give us a turn.",0246,neutral,4,"00:16:58,392","00:17:00,383"
Brave,Merida,I can't move.,0247,neutral,4,"00:17:01,854","00:17:04,140"
Brave,Merida,It is customary that the challenge be determined by the Princess herself.,0319,happy,3,"00:22:39,733","00:22:44,397"
Brave,Merida,Archery! Archery.,0320,neutral,4,"00:22:44,446","00:22:46,152"
Brave,Merida,"At least you hit the target, son.",0339,neutral,4,"00:24:56,996","00:25:00,409"
Brave,Merida,Fergus. “What?,0343,sad,5,"00:25:12,928","00:25:14,543"
Brave,Merida,"By the way, hope you don't mind being called lady ding...",0351,neutral,4,"00:25:54,678","00:25:57,795"
Brave,Merida,I am Merida.,0352,neutral,4,"00:26:04,980","00:26:07,642"
Brave,Merida,Firstborn descendant of clan dun broch.,0353,neutral,4,"00:26:07,691","00:26:10,933"
Brave,Merida,You listen to me!,0368,others,7,"00:27:38,574","00:27:40,110"
Brave,Merida,Ha! Unfair?,0370,angry,0,"00:27:42,578","00:27:44,284"
Brave,Merida,You're never there for me.,0371,angry,0,"00:27:44,371","00:27:46,407"
Brave,Merida,This whole marriage is what you want.,0372,angry,0,"00:27:46,498","00:27:49,160"
Brave,Merida,Do you ever bother to ask what I want? No.,0373,angry,0,"00:27:49,251","00:27:52,414"
Brave,Merida,"You walk around telling me what to do, what not to do,",0374,angry,0,"00:27:52,504","00:27:55,337"
Brave,Merida,trying to make me be like you.,0375,angry,0,"00:27:55,424","00:27:57,915"
Brave,Merida,"Oh, you're acting like a child.",0377,angry,0,"00:28:00,387","00:28:02,093"
Brave,Merida,"I'll never be like you. No, stop that!",0380,angry,0,"00:28:07,060","00:28:09,426"
Brave,Merida,and I expect you to act like one. Mum!,0383,surprise,6,"00:28:19,656","00:28:22,443"
Brave,Merida,Whoa!,0392,sad,5,"00:29:18,507","00:29:20,589"
Brave,Merida,"Come on, Angus.",0394,happy,3,"00:30:09,391","00:30:12,383"
Brave,Merida,Angus!,0395,neutral,4,"00:30:12,477","00:30:13,683"
Brave,Merida,Why would the wisps lead me here?,0396,neutral,4,"00:31:02,569","00:31:05,026"
Brave,Merida,Everything is half off.,0400,neutral,4,"00:31:34,476","00:31:36,808"
Brave,Merida,Uh...,0401,neutral,4,"00:31:37,312","00:31:38,347"
Brave,Merida,Who are you? Just a humble woodcarver.,0402,neutral,4,"00:31:42,192","00:31:45,275"
Brave,Merida,Um...,0403,surprise,6,"00:31:45,320","00:31:46,810"
Brave,Merida,Perhaps a touch of whimsy to brighten any dank chamber?,0406,neutral,4,"00:31:52,119","00:31:56,203"
Brave,Merida,I'll make you a deal for this rare prize.,0409,neutral,4,"00:32:01,169","00:32:02,830"
Brave,Merida,"If you're not going to buy anything, get out.",0427,fear,2,"00:33:00,228","00:33:05,188"
Brave,Merida,"And how are you going to pay for that, sweetie?",0432,neutral,4,"00:33:19,289","00:33:23,578"
Brave,Merida,"Merida: Ah, ah, ah.",0436,neutral,4,"00:33:35,305","00:33:36,715"
Brave,Merida,Are you sure you know what you're doing?,0438,neutral,4,"00:33:43,355","00:33:46,313"
Brave,Merida,I want a spell to change my mum.,0439,neutral,4,"00:33:46,399","00:33:49,937"
Brave,Merida,A spell that would change his fate.,0451,neutral,4,"00:34:23,562","00:34:25,518"
Brave,Merida,Hey!,0464,others,7,"00:35:19,409","00:35:20,489"
Brave,Merida,You don't want it? Yes! I want it.,0466,neutral,4,"00:35:23,455","00:35:26,447"
Brave,Merida,"You're sure if I give this to my mum,",0467,neutral,4,"00:35:27,000","00:35:31,084"
Brave,Merida,What was that thing about the spell?,0473,neutral,4,"00:35:46,770","00:35:48,977"
Brave,Merida,Did you say something about,0474,neutral,4,"00:35:49,731","00:35:52,643"
Brave,Merida,Elinor: Merida. Mum!,0479,neutral,4,"00:36:25,767","00:36:27,758"
Brave,Merida,What's this? It's a peace offering.,0492,neutral,4,"00:37:11,938","00:37:14,771"
Brave,Merida,Oh. Interesting flavor.,0496,neutral,4,"00:37:26,619","00:37:29,406"
Brave,Merida,"Tart and, um, gamy.",0499,neutral,4,"00:37:34,419","00:37:37,707"
Brave,Merida,"Mum! Oh, suddenly I'm not so well.",0508,neutral,4,"00:38:04,199","00:38:07,987"
Brave,Merida,"Just take all the time you need to getting yourself right, mum.",0529,neutral,4,"00:39:09,472","00:39:13,431"
Brave,Merida,Cake.,0532,neutral,4,"00:39:20,066","00:39:21,647"
Brave,Merida,Mum?,0533,neutral,4,"00:39:23,862","00:39:25,068"
Brave,Merida,"So I'll just tell them the wedding's off, then?",0534,neutral,4,"00:39:25,113","00:39:27,775"
Brave,Merida,Mum?,0535,fear,2,"00:39:32,871","00:39:34,862"
Brave,Merida,_oh!,0537,neutral,4,"00:40:26,799","00:40:27,799"
Brave,Merida,Mum?,0538,fear,2,"00:40:37,268","00:40:38,804"
Brave,Merida,You're... you're a bear!,0539,others,7,"00:40:40,563","00:40:43,805"
Brave,Merida,Why a bear?,0540,others,7,"00:40:45,944","00:40:47,309"
Brave,Merida,"Oh, that scaffy witch gave me a gammy spell.",0541,others,7,"00:40:47,570","00:40:51,563"
Brave,Merida,It's not my fault.,0542,others,7,"00:40:53,618","00:40:54,949"
Brave,Merida,I didn't ask her to change you into a bear.,0543,others,7,"00:40:55,036","00:40:57,027"
Brave,Merida,Something's not right.,0546,others,7,"00:41:10,301","00:41:12,542"
Brave,Merida,There's no point in having a go at me. The witch is to blame.,0547,others,7,"00:41:15,890","00:41:19,223"
Brave,Merida,"Merida: Mum, you can't go out there.",0558,others,7,"00:41:56,597","00:41:59,213"
Brave,Merida,What are you doing? Dad. The bear king?,0560,others,7,"00:42:04,272","00:42:08,140"
Brave,Merida,Stop!,0572,angry,0,"00:42:37,638","00:42:38,673"
Brave,Merida,You're covered with fur.,0573,angry,0,"00:42:42,018","00:42:44,179"
Brave,Merida,You're not naked.,0574,angry,0,"00:42:44,270","00:42:45,976"
Brave,Merida,Hm?,0588,neutral,4,"00:43:55,133","00:43:56,168"
Brave,Merida,"Oh, all right.",0591,neutral,4,"00:44:03,432","00:44:05,172"
Brave,Merida,You can have my desserts for two... three weeks.,0592,neutral,4,"00:44:05,226","00:44:08,514"
Brave,Merida,"Mum, we've got to hurry.",0618,neutral,4,"00:46:34,625","00:46:36,991"
Brave,Merida,Lead me to the witch's cottage.,0625,neutral,4,"00:47:15,583","00:47:18,165"
Brave,Merida,I'm here!,0626,neutral,4,"00:47:19,295","00:47:21,286"
Brave,Merida,Fine. Don't come out now that my mum's watching.,0627,neutral,4,"00:47:22,214","00:47:25,798"
Brave,Merida,I was standing right here and the wisp appeared right there.,0628,neutral,4,"00:47:27,011","00:47:32,005"
Brave,Merida,"Oh, does she think we're just going to happen upon the witch's cottage?",0630,neutral,4,"00:47:41,609","00:47:45,943"
Brave,Merida,"Oh, mum, I know this place.",0631,neutral,4,"00:47:59,960","00:48:02,167"
Brave,Merida,The witch's cottage...,0632,neutral,4,"00:48:02,713","00:48:04,669"
Brave,Merida,No. She was here.,0635,neutral,4,"00:48:25,528","00:48:28,270"
Brave,Merida,"No, really, she was just here.",0636,neutral,4,"00:48:29,240","00:48:32,403"
Brave,Merida,torn by pride.,0657,neutral,4,"00:50:01,582","00:50:03,618"
Brave,Merida,Thank you for visiting. Have a lovely day.,0671,neutral,4,"00:50:43,332","00:50:46,369"
Brave,Merida,I'll always be right here.,0675,neutral,4,"00:52:17,384","00:52:20,376"
Brave,Merida,Uh... good morning.,0676,neutral,4,"00:52:42,618","00:52:44,779"
Brave,Merida,So...,0677,neutral,4,"00:52:46,914","00:52:48,950"
Brave,Merida,What?,0680,neutral,4,"00:52:56,590","00:52:58,251"
Brave,Merida,Sorry. I don't speak bear.,0681,neutral,4,"00:53:05,015","00:53:06,926"
Brave,Merida,"Find those by the creek, did you? Mm-hm.",0684,neutral,4,"00:53:27,955","00:53:30,617"
Brave,Merida,They're poisonous.,0687,neutral,4,"00:53:34,628","00:53:36,243"
Brave,Merida,Come on.,0689,happy,3,"00:53:58,694","00:54:01,606"
Brave,Merida,Breakfast.,0690,neutral,4,"00:54:09,663","00:54:10,823"
Brave,Merida,Uh... mum?,0719,neutral,4,"00:57:14,056","00:57:16,763"
Brave,Merida,You changed.,0720,neutral,4,"00:57:23,523","00:57:25,514"
Brave,Merida,"I mean, like you were a bear on the inside.",0722,neutral,4,"00:57:27,945","00:57:31,403"
Brave,Merida,Mum...,0727,neutral,4,"00:57:52,552","00:57:54,543"
Brave,Merida,but we've got to keep our heads.,0731,neutral,4,"00:58:07,734","00:58:10,976"
Brave,Merida,Listen.,0733,neutral,4,"00:58:13,991","00:58:15,982"
Brave,Merida,Merida: Why did the wisps bring us here?,0736,neutral,4,"00:59:26,063","00:59:28,645"
Brave,Merida,a throne room.,0741,neutral,4,"01:00:20,700","01:00:21,780"
Brave,Merida,The oldest.,0749,neutral,4,"01:00:40,303","01:00:42,168"
Brave,Merida,"Split, like the tapestry.",0750,neutral,4,"01:00:45,142","01:00:47,303"
Brave,Merida,Strength of ten men.,0752,neutral,4,"01:01:00,866","01:01:03,357"
Brave,Merida,Changed his fate.,0754,neutral,4,"01:01:09,082","01:01:11,949"
Brave,Merida,"Oh, no.",0755,neutral,4,"01:01:13,044","01:01:14,705"
Brave,Merida,"If we don't hurry, you'll become like Mor'du.",0759,others,7,"01:02:33,458","01:02:36,791"
Brave,Merida,A bear!,0760,others,7,"01:02:36,836","01:02:38,201"
Brave,Merida,Mend the bond torn by pride.,0762,others,7,"01:02:40,715","01:02:44,299"
Brave,Merida,Then our alliance is over! This means war!,0771,others,7,"01:03:48,575","01:03:51,567"
Brave,Merida,They're gonna murder each other.,0772,others,7,"01:03:56,374","01:03:58,080"
Brave,Merida,"What are you doing, lass? It's all right, dad.",0778,neutral,4,"01:04:27,781","01:04:31,399"
Brave,Merida,"I, um...",0779,neutral,4,"01:04:31,451","01:04:34,113"
Brave,Merida,"Well, you see, I...",0781,neutral,4,"01:04:37,832","01:04:40,790"
Brave,Merida,That's right. Let's see her. Shut it!,0789,neutral,4,"01:04:57,519","01:04:59,680"
Brave,Merida,"Well, I, uh...",0790,neutral,4,"01:05:04,484","01:05:06,645"
Brave,Merida,Uh...,0791,neutral,4,"01:05:10,824","01:05:11,824"
Brave,Merida,"Och, we've all heard that tale. Lost kingdom.",0796,neutral,4,"01:05:27,674","01:05:30,757"
Brave,Merida,"Aye, but it's true.",0797,neutral,4,"01:05:30,844","01:05:32,425"
Brave,Merida,They ring with truths.,0801,neutral,4,"01:05:40,228","01:05:42,310"
Brave,Merida,Our kingdom is young.,0802,neutral,4,"01:05:43,356","01:05:44,937"
Brave,Merida,Our stories are not yet legend.,0803,neutral,4,"01:05:45,191","01:05:47,307"
Brave,Merida,"But in them, our bond was struck.",0804,neutral,4,"01:05:47,360","01:05:50,523"
Brave,Merida,you joined together to defend our lands.,0807,neutral,4,"01:05:56,202","01:05:59,194"
Brave,Merida,You fought for each other.,0808,neutral,4,"01:05:59,747","01:06:02,409"
Brave,Merida,"I was aiming at you, you big tumshie.",0818,neutral,4,"01:06:25,607","01:06:27,518"
Brave,Merida,My dad rallied your forces,0820,neutral,4,"01:06:32,780","01:06:35,362"
Brave,Merida,and you made him your king.,0821,neutral,4,"01:06:35,408","01:06:37,774"
Brave,Merida,It was an alliance forged in bravery and friendship,0822,neutral,4,"01:06:37,869","01:06:41,953"
Brave,Merida,and it lives to this day.,0823,neutral,4,"01:06:42,040","01:06:43,780"
Brave,Merida,But I've been selfish.,0824,neutral,4,"01:06:49,380","01:06:51,837"
Brave,Merida,There's no one to blame but me.,0826,neutral,4,"01:06:55,803","01:06:57,885"
Brave,Merida,And I know now that I need to amend my mistake,0827,neutral,4,"01:06:58,723","01:07:02,432"
Brave,Merida,"And so, there is the matter of my betrothal.",0829,neutral,4,"01:07:06,814","01:07:10,648"
Brave,Merida,and...,0831,neutral,4,"01:07:15,448","01:07:16,608"
Brave,Merida,And...,0833,neutral,4,"01:07:19,786","01:07:21,492"
Brave,Merida,My mother...,0835,neutral,4,"01:07:32,006","01:07:33,837"
Brave,Merida,"Uh, in her heart",0837,neutral,4,"01:07:38,471","01:07:41,634"
Brave,Merida,that I...,0838,neutral,4,"01:07:41,724","01:07:43,635"
Brave,Merida,That we be free to...,0839,neutral,4,"01:07:45,353","01:07:48,015"
Brave,Merida,Follow our hearts,0841,happy,3,"01:07:54,737","01:07:58,980"
Brave,Merida,"The queen and I put the decision to you, my lords.",0844,happy,3,"01:08:10,503","01:08:13,870"
Brave,Merida,You devil.,0863,fear,2,"01:09:20,573","01:09:21,858"
Brave,Merida,Mend the bond...,0870,neutral,4,"01:10:01,072","01:10:03,563"
Brave,Merida,Mend the bond.,0871,happy,3,"01:10:04,784","01:10:06,900"
Brave,Merida,Stitch it up. This'll change you back.,0872,happy,3,"01:10:06,953","01:10:09,740"
Brave,Merida,Mum?,0874,neutral,4,"01:10:18,589","01:10:20,671"
Brave,Merida,Mum.,0890,others,7,"01:11:41,130","01:11:43,712"
Brave,Merida,"Count your stars, lass. It almost had you. Are you hurt?",0896,others,7,"01:12:00,191","01:12:02,728"
Brave,Merida,You're talking nonsense! It's the truth!,0899,others,7,"01:12:13,246","01:12:15,362"
Brave,Merida,The second sunrise.,0949,sad,5,"01:19:50,327","01:19:53,069"
Brave,Merida,No...,0950,sad,5,"01:20:32,411","01:20:34,242"
Brave,Merida,"Oh, mum, I'm sorry.",0952,sad,5,"01:20:49,386","01:20:52,970"
Brave,Merida,This is all my fault.,0953,sad,5,"01:20:54,933","01:20:57,174"
Brave,Merida,I did this to you.,0954,sad,5,"01:20:57,269","01:20:59,260"
Brave,Merida,To us.,0955,sad,5,"01:20:59,772","01:21:01,262"
Brave,Merida,You've always been there for me.,0956,sad,5,"01:21:07,571","01:21:09,562"
Brave,Merida,I just want you back.,0958,sad,5,"01:21:15,037","01:21:16,698"
Brave,Merida,"I want you back, mummy.",0959,sad,5,"01:21:22,378","01:21:24,369"
Brave,Merida,I love you.,0960,happy,3,"01:21:44,149","01:21:46,140"
Brave,Merida,Mum! You're back!,0961,happy,3,"01:22:13,887","01:22:15,969"
Brave,Witch,You holler if you see anything you like.,0399,happy,3,"00:31:32,224","00:31:34,385"
Brave,Witch,I don't understand...,0404,happy,3,"00:31:47,114","00:31:49,651"
Brave,Witch,See anything you like? Uh...,0405,happy,3,"00:31:49,699","00:31:51,815"
Brave,Witch,Oh! This is one of a kind!,0408,happy,3,"00:31:58,792","00:32:00,783"
Brave,Witch,It was sweeping by itself. That's ridiculous.,0411,others,7,"00:32:07,884","00:32:10,876"
Brave,Witch,Wood cannot be imbued with magical properties.,0412,fear,2,"00:32:11,179","00:32:13,670"
Brave,Witch,I should know. I'm a wit... whittler.,0413,surprise,6,"00:32:13,765","00:32:17,257"
Brave,Witch,Of wood.,0414,neutral,4,"00:32:17,352","00:32:19,138"
Brave,Witch,"Woodcarver! You see, it's my mother.",0425,angry,0,"00:32:51,845","00:32:54,632"
Brave,Witch,I'm not a witch! Too many unsatisfied customers.,0426,angry,0,"00:32:54,723","00:32:57,806"
Brave,Witch,What? What was that? Every carving.,0430,neutral,4,"00:33:14,868","00:33:17,450"
Brave,Witch,Well...,0431,others,7,"00:33:17,537","00:33:19,243"
Brave,Witch,With this. “W...,0433,surprise,6,"00:33:23,668","00:33:26,330"
Brave,Witch,Every carving and one spell.,0437,others,7,"00:33:36,765","00:33:42,601"
Brave,Witch,That'll change my fate.,0440,others,7,"00:33:50,195","00:33:52,481"
Brave,Witch,Hmm... done!,0441,happy,3,"00:33:52,572","00:33:53,857"
Brave,Witch,Easy on the eyes. Tight pants.,0448,happy,3,"00:34:13,468","00:34:15,754"
Brave,Witch,He demanded I give him the strength of ten men.,0449,happy,3,"00:34:15,804","00:34:19,467"
Brave,Witch,Yes.,0453,neutral,4,"00:34:28,942","00:34:30,603"
Brave,Witch,And made off with an especially attractive mahogany cheese board.,0454,happy,3,"00:34:30,652","00:34:34,770"
Brave,Witch,it will change my fate?,0468,happy,3,"00:35:31,379","00:35:33,085"
Brave,Witch,Oh.,0469,happy,3,"00:35:33,381","00:35:34,917"
Brave,Witch,"Trust me. It'll do the trick, dearie.",0470,happy,3,"00:35:35,008","00:35:38,296"
Brave,Witch,Expect delivery of your purchase within a fortnight.,0471,fear,2,"00:35:38,970","00:35:43,839"
Brave,Witch,Ooh! Ooh...,0472,neutral,4,"00:35:43,892","00:35:45,883"
Brave,Witch,home of bear-themed carvings and novelties.,0642,happy,3,"00:49:13,534","00:49:17,026"
Brave,Witch,I am completely out of stock at this time.,0643,happy,3,"00:49:17,079","00:49:20,196"
Brave,Witch,unless you remember these words.,0653,neutral,4,"00:49:50,070","00:49:54,404"
Brave,Witch,"Fate be changed,",0654,neutral,4,"00:49:55,409","00:49:57,491"
Brave,Witch,"look inside,",0655,neutral,4,"00:49:57,578","00:49:59,534"
Brave,Witch,mend the bond,0656,neutral,4,"00:49:59,580","00:50:01,491"
Brave,Witch,One more time.,0659,neutral,4,"00:50:07,838","00:50:09,544"
Brave,Witch,torn by pride.,0663,happy,3,"00:50:15,554","00:50:18,091"
Brave,Witch,That's it. Ta-fa.,0664,happy,3,"00:50:18,182","00:50:19,547"
Brave,Elinor,,0001,neutral,4,,
Brave,Elinor,"Where is my little birthday girl, hm?",0007,neutral,4,"00:01:39,600","00:01:42,307"
Brave,Elinor,I'm going to eat you. I am.,0010,surprise,6,"00:01:48,400","00:01:50,356"
Brave,Elinor,"I missed. Go and fetch it, then.",0021,neutral,4,"00:02:25,395","00:02:27,386"
Brave,Elinor,I saw a wisp. A wisp?,0028,neutral,4,"00:03:38,510","00:03:40,626"
Brave,Elinor,Or a giant having a jigger in the bluebells.,0032,neutral,4,"00:03:51,732","00:03:54,144"
Brave,Elinor,I'm the Princess.,0052,happy,3,"00:05:34,626","00:05:36,662"
Brave,Elinor,From the top.,0066,neutral,4,"00:06:11,872","00:06:13,408"
Brave,Elinor,A Princess must be knowledgeable about her kingdom.,0067,angry,0,"00:06:13,456","00:06:16,414"
Brave,Elinor,She does not doodle.,0068,neutral,4,"00:06:17,961","00:06:19,952"
Brave,Elinor,Mm! Does not stuff her gob!,0071,happy,3,"00:06:33,476","00:06:35,512"
Brave,Elinor,Rises early.,0072,neutral,4,"00:06:35,604","00:06:37,310"
Brave,Elinor,Is compassionate...,0073,angry,0,"00:06:37,397","00:06:39,183"
Brave,Elinor,"Patient, cautious,",0074,neutral,4,"00:06:39,274","00:06:40,684"
Brave,Elinor,clean.,0075,neutral,4,"00:06:40,775","00:06:41,775"
Brave,Elinor,I'll finish what I guddled in the first place.,0121,neutral,4,"00:10:05,438","00:10:07,520"
Brave,Elinor,Mum! It's just my bow.,0123,neutral,4,"00:10:11,444","00:10:14,652"
Brave,Elinor,"What did you do, dear? Nothing, mum.",0132,neutral,4,"00:10:35,635","00:10:38,422"
Brave,Elinor,Mum! You'll get dreadful collywobbles.,0134,others,7,"00:10:40,056","00:10:42,422"
Brave,Elinor,"Oh, you great... Don't let them lick...",0137,angry,0,"00:10:47,605","00:10:50,096"
Brave,Elinor,"Urgh! Och, how do you know you don't like it,",0140,others,7,"00:10:53,903","00:10:56,690"
Brave,Elinor,if you won't try it?,0141,others,7,"00:10:56,739","00:10:58,821"
Brave,Elinor,"From the lords macintosh, macguffin and Dingwall.",0147,neutral,4,"00:11:13,173","00:11:15,539"
Brave,Elinor,Fergus?,0153,others,7,"00:11:27,061","00:11:29,097"
Brave,Elinor,What did I do now?,0159,angry,0,"00:11:46,998","00:11:49,831"
Brave,Elinor,Your father has something to discuss with you.,0160,neutral,4,"00:11:49,918","00:11:52,125"
Brave,Elinor,I suppose a Princess just does what she's told?,0170,angry,0,"00:12:28,039","00:12:30,781"
Brave,Elinor,A Princess does not raise her voice.,0171,neutral,4,"00:12:30,833","00:12:33,245"
Brave,Elinor,Mother. Suitors? Marriage?,0179,neutral,4,"00:12:58,027","00:13:01,736"
Brave,Elinor,Ancient kingdom.,0182,neutral,4,"00:13:06,953","00:13:08,568"
Brave,Elinor,"Its name long forgotten,",0183,neutral,4,"00:13:08,663","00:13:10,699"
Brave,Elinor,That's a nice story.,0190,neutral,4,"00:13:39,652","00:13:41,563"
Brave,Elinor,"It's not fair. Och, Merida.",0196,neutral,4,"00:13:52,832","00:13:55,164"
Brave,Elinor,"Aye, you do. You mutter, lass, when something's troubling you.",0199,angry,0,"00:14:10,099","00:14:13,387"
Brave,Elinor,I blame you. Stubbornness.,0200,angry,0,"00:14:13,644","00:14:15,726"
Brave,Elinor,"I take it the talk didn't go too well, then?",0202,others,7,"00:14:17,482","00:14:20,349"
Brave,Elinor,What would you say?,0207,others,7,"00:14:32,121","00:14:34,077"
Brave,Elinor,as I ride through the Glen firing arrows into the sunset.,0214,neutral,4,"00:14:47,428","00:14:51,341"
Brave,Elinor,"Merida, all this work, all the time spent preparing you,",0215,neutral,4,"00:14:56,771","00:15:01,765"
Brave,Elinor,"schooling you, giving you everything we never had.",0216,neutral,4,"00:15:01,818","00:15:05,436"
Brave,Elinor,Good day to you. We'll expect your declarations of war in the morning.,0222,neutral,4,"00:15:20,962","00:15:25,001"
