Length,Speaker,Emotions,Start_Time,End_Time,Utterances,Dialogue_ID,Season,Episode,Utterance_IDs,Line_Indices
3,Ross,"['anger', 'surprise', 'surprise']","00:20:37,611","0:20:51,192","['Yeah, they think they can charge me for some dirty movie and a bag of Mashuga nuts, they got another think coming.', 'Hey!', 'My sweater!']",38,8,2,"[6, 7, 8]","401,402,403"
3,Joey,"['anger', 'surprise', 'anger']","0:11:05,623","00:11:10,835","['Well, why don’t you tell me what you’re supposed to be!', 'Huh?', 'Because I sure as hell can’t figure it out!']",39,3,19,"[1, 2, 3]","408,409,410"
3,Joey,"['surprise', 'anger', 'anger']","0:11:07,515","00:11:13,421","['Huh?', 'Because I sure as hell can’t figure it out!', 'I talk to you and nothin’.']",39,3,19,"[2, 3, 4]","409,410,411"
3,Joey,"['neutral', 'anger', 'anger']","00:11:47,123","00:12:02,929","['Oh, hey, how about this one.', 'Ah, it’s says so in the script!', ""Y'know ah, I-I don’t know why my character likes you either, I mean it says in the script here that you’re a bitch.""]",39,3,19,"[14, 15, 16]","421,422,423"
3,Joey,"['neutral', 'neutral', 'joy']","0:06:23,758","00:06:31,765","[""Quick, aim him at that pack o' babes over there."", 'Maybe one of them will break away.', 'No, no wait, for get them, we got one, hard left.']",47,2,6,"[5, 6, 7]","496,497,498"
3,Joey,"['neutral', 'joy', 'neutral']","0:06:25,730","0:06:32,775","['Maybe one of them will break away.', 'No, no wait, for get them, we got one, hard left.', 'All right, gimme the baby.']",47,2,6,"[6, 7, 8]","497,498,499"
2,Joey,"['joy', 'neutral']","00:06:28,346","0:06:32,775","['No, no wait, for get them, we got one, hard left.', 'All right, gimme the baby.']",47,2,6,"[7, 8]","498,499"
3,Joey,"['neutral', 'joy', 'joy']","00:06:49,700","00:07:05,674","['You wanna smell him?', ""Oh, yeah. He's got that great baby smell. Get a whiff of his head."", ""What'd I tell you? What'd I tell you?""]",47,2,6,"[14, 15, 16]","505,506,507"
3,Ross,"['neutral', 'neutral', 'anger']","00:12:56,692","00:13:06,951","['Well, not really.', 'I mean technically it’s-it’s not against the rules or anything, but it is frowned upon.', 'Especially by that professor we ran into last night, Judgey von Holierthanthou.']",49,6,18,"[0, 1, 2]","510,511,512"
2,Ross,"['neutral', 'anger']","00:12:58,027","00:13:06,951","['I mean technically it’s-it’s not against the rules or anything, but it is frowned upon.', 'Especially by that professor we ran into last night, Judgey von Holierthanthou.']",49,6,18,"[1, 2]","511,512"
3,Joey,"['surprise', 'neutral', 'neutral']","0:14:18,816","00:14:24,279","['Okay!', 'All right.', 'Umm, all right Wayne, level with me.']",50,6,21,"[2, 3, 4]","534,535,536"
3,Joey,"['neutral', 'neutral', 'fear']","0:14:19,128","00:14:24,279","['All right.', 'Umm, all right Wayne, level with me.', 'I-I keep hearing all these rumors that I might get fired.']",50,6,21,"[3, 4, 5]","535,536,538"
3,Joey,"['neutral', 'fear', 'fear']","00:14:19,859","00:14:27,657","['Umm, all right Wayne, level with me.', 'I-I keep hearing all these rumors that I might get fired.', 'Okay, they even have actors coming in to read for my part!']",50,6,21,"[4, 5, 6]","536,538,539"
3,Joey,"['fear', 'fear', 'sadness']","00:14:19,859","00:14:30,326","['I-I keep hearing all these rumors that I might get fired.', 'Okay, they even have actors coming in to read for my part!', 'Come on man, you-you got to give me a second chance!']",50,6,21,"[5, 6, 7]","538,539,540"
3,Joey,"['fear', 'sadness', 'joy']","00:14:24,446","0:14:31,956","['Okay, they even have actors coming in to read for my part!', 'Come on man, you-you got to give me a second chance!', 'I mean, I love-I love this little guy!']",50,6,21,"[6, 7, 8]","539,540,541"
3,Joey,"['sadness', 'joy', 'surprise']","00:14:27,825","0:14:33,140","['Come on man, you-you got to give me a second chance!', 'I mean, I love-I love this little guy!', 'Ah-ah!!']",50,6,21,"[7, 8, 9]","540,541,542"
3,Joey,"['joy', 'surprise', 'surprise']","0:14:30,494","0:14:36,292","['I mean, I love-I love this little guy!', 'Ah-ah!!', 'Okay, that’s why you didn’t want me to touch him right?']",50,6,21,"[8, 9, 10]","541,542,543"
3,Joey,"['surprise', 'surprise', 'neutral']","0:14:31,956","0:14:36,714","['Ah-ah!!', 'Okay, that’s why you didn’t want me to touch him right?', 'Here you go!']",50,6,21,"[9, 10, 11]","542,543,544"
3,Joey,"['surprise', 'neutral', 'neutral']","0:14:33,706","0:14:37,872","['Okay, that’s why you didn’t want me to touch him right?', 'Here you go!', 'Okay?']",50,6,21,"[10, 11, 12]","543,544,545"
3,Joey,"['neutral', 'neutral', 'anger']","0:14:36,292","0:14:41,881","['Here you go!', 'Okay?', 'Stupid!']",50,6,21,"[11, 12, 13]","544,545,546"
3,Joey,"['neutral', 'anger', 'surprise']","0:14:36,714","0:14:42,215","['Okay?', 'Stupid!', 'I can’t believe it!']",50,6,21,"[12, 13, 14]","545,546,547"
3,Joey,"['anger', 'surprise', 'anger']","0:14:39,795","0:14:42,929","['Stupid!', 'I can’t believe it!', 'God!']",50,6,21,"[13, 14, 15]","546,547,548"
3,Joey,"['surprise', 'anger', 'neutral']","0:14:41,881","00:14:47,010","['I can’t believe it!', 'God!', 'Hey, how you doin’?']",50,6,21,"[14, 15, 16]","547,548,549"
2,Joey,"['anger', 'neutral']","0:14:42,215","00:14:47,010","['God!', 'Hey, how you doin’?']",50,6,21,"[15, 16]","548,549"
3,Dina,"['fear', 'fear', 'neutral']","00:19:40,971","00:19:50,771","['Joey, I am scared to death about this.', 'But I really think I can do it, I’m just gonna need some help.', 'And Bobby’s gonna be here the whole time.']",54,8,10,"[3, 4, 5]","585,586,587"
2,Dina,"['fear', 'neutral']","00:19:43,932","00:19:50,771","['But I really think I can do it, I’m just gonna need some help.', 'And Bobby’s gonna be here the whole time.']",54,8,10,"[4, 5]","586,587"
3,Dina,"['joy', 'neutral', 'neutral']","00:20:09,750","0:20:17,174","['And you’re my big brother!', 'I mean, you’re my favorite guy in the whole world.', 'I’m not even scared to tell mom and dad.']",54,8,10,"[9, 10, 11]","591,592,593"
3,Dina,"['neutral', 'neutral', 'fear']","00:20:11,418","0:20:20,476","['I mean, you’re my favorite guy in the whole world.', 'I’m not even scared to tell mom and dad.', 'I was scared of telling you.']",54,8,10,"[10, 11, 12]","592,593,594"
2,Dina,"['neutral', 'fear']","0:20:14,838","0:20:20,476","['I’m not even scared to tell mom and dad.', 'I was scared of telling you.']",54,8,10,"[11, 12]","593,594"
3,Chandler,"['neutral', 'fear', 'fear']","0:05:18,667","00:05:33,040","['Are you seeing anybody right now?', 'Og-ee-op, I’m not asking for me, I’m… I mean… No, I’m-I’m not gay, I’m not asking you out.', 'I’m not-I’m not-I’m not gay!']",57,4,10,"[1, 2, 3]","631,632,633"
3,Doug,"['neutral', 'joy', 'neutral']","00:20:58,548","0:21:06,819","['So, in conclusion, the lines all go up , so I’m happy.', 'Great job team!', 'Tomorrow at 8:30.']",59,3,24,"[0, 1, 2]","644,645,646"
3,Doug,"['joy', 'neutral', 'joy']","0:21:04,429","0:21:07,901","['Great job team!', 'Tomorrow at 8:30.', 'Phil!']",59,3,24,"[1, 2, 3]","645,646,647"
3,Doug,"['neutral', 'joy', 'joy']","0:21:05,361","0:21:08,653","['Tomorrow at 8:30.', 'Phil!', 'Nice job.']",59,3,24,"[2, 3, 4]","646,647,648"
3,Doug,"['joy', 'joy', 'neutral']","0:21:26,493","00:21:34,792","['Of course, you did.', 'Forgot something else too ya bastard!', 'Well, what about you?']",61,3,24,"[1, 2, 3]","657,658,659"
3,Doug,"['joy', 'neutral', 'neutral']","0:21:27,295","00:21:41,465","['Forgot something else too ya bastard!', 'Well, what about you?', 'You’re not feeling left out or anything are ya?']",61,3,24,"[2, 3, 4]","658,659,660"
3,Rachel,"['joy', 'sadness', 'joy']","00:08:30,259","0:08:35,951","['Ross-Ross, you have no idea what this means to me!', 'I mean, I mean I was gonna be homeless.', 'You just saved me!']",67,6,3,"[5, 6, 7]","723,724,725"
3,Rachel,"['sadness', 'joy', 'joy']","0:08:32,762","0:08:37,142","['I mean, I mean I was gonna be homeless.', 'You just saved me!', 'You’re my hero!']",67,6,3,"[6, 7, 8]","724,725,726"
3,Phoebe,"['neutral', 'neutral', 'anger']","0:08:59,915","00:09:12,968","['No, I won’t.', 'But I should tell you this, this exact same thing happened to my roommate Denise.', 'She moved in with a guy who was secretly married to her and he said he didn’t love her, but he really did, and it just blew up!']",67,6,3,"[13, 14, 15]","731,732,733"
2,Phoebe,"['neutral', 'anger']","00:09:01,666","00:09:12,968","['But I should tell you this, this exact same thing happened to my roommate Denise.', 'She moved in with a guy who was secretly married to her and he said he didn’t love her, but he really did, and it just blew up!']",67,6,3,"[14, 15]","732,733"
2,Chandler,"['joy', 'neutral']","00:10:00,223","00:10:06,938","[""That's great."", ""Well, I'm gonna get another espresso. Can I get you another latte?""]",69,1,5,"[0, 1]","748,749"
3,Chandler,"['neutral', 'joy', 'joy']","00:08:04,525","00:08:13,074","['Okay, but this is the last time.', 'With a chick-chick here, and a chick-chick there.', 'Here a chick, there a chick, everywhere a chick-chick--chickeeeen.']",73,3,21,"[0, 1, 2]","776,777,778"
2,Rachel,"['neutral', 'joy']","0:10:04,800","0:10:08,096","['Oh no, Baby Girl Geller-Green.', 'Hello baby girl.']",77,8,24,"[3, 4]","807,808"
2,Phoebe,"['anger', 'neutral']","00:21:16,483","0:21:29,094","['No Rachel! They got here first!', 'Why is Ross doing that?']",78,6,17,"[2, 3]","811,812"
3,Phoebe,"['anger', 'anger', 'surprise']","00:12:05,391","00:12:18,820","['I was the last one to know when Chandler got bitten by the peacock at the zoo.', 'I was the last one to know when you had a crush on Joey when he was moving in.', 'Looks like I was second to last.']",81,1,7,"[14, 15, 16]","843,844,845"
2,Phoebe,"['anger', 'surprise']","00:12:10,771","00:12:18,820","['I was the last one to know when you had a crush on Joey when he was moving in.', 'Looks like I was second to last.']",81,1,7,"[15, 16]","844,845"
2,Chandler,"['neutral', 'disgust']","00:03:27,081","00:03:35,547","['It’s not like we run in the same circles.', 'I hang out with you guys, and he stars in a drag show in Vegas.']",82,7,22,"[5, 6]","852,853"
3,Rachel,"['neutral', 'neutral', 'surprise']","00:09:11,008","00:09:24,229","[""Oh, I thought you guys meant marijuana cigarettes, y'know?"", ""Y'know what I mean, like dubbies?"", 'And I actually, I thought to myself, ""Wow, those guys are crazy!""']",86,5,18,"[3, 4, 5]","879,880,881"
3,Rachel,"['neutral', 'surprise', 'neutral']","00:09:17,265","00:09:26,898","[""Y'know what I mean, like dubbies?"", 'And I actually, I thought to myself, ""Wow, those guys are crazy!""', 'But no, I actually smoke the regular ones all, all the time.']",86,5,18,"[4, 5, 6]","880,881,882"
2,Rachel,"['surprise', 'neutral']","00:09:21,060","00:09:26,898","['And I actually, I thought to myself, ""Wow, those guys are crazy!""', 'But no, I actually smoke the regular ones all, all the time.']",86,5,18,"[5, 6]","881,882"
3,Rachel,"['neutral', 'joy', 'joy']","00:09:44,458","0:09:48,219","['Handling it?', 'What do you mean, handling it?', 'There’s nothing to handle.']",89,4,20,"[5, 6, 7]","907,908,909"
3,Rachel,"['joy', 'joy', 'neutral']","0:09:46,085","00:09:52,757","['What do you mean, handling it?', 'There’s nothing to handle.', 'Now, maybe I would have a problem with this if it wasn’t for me and Joshua.']",89,4,20,"[6, 7, 8]","908,909,910"
3,Rachel,"['joy', 'neutral', 'anger']","0:09:47,097","0:09:55,136","['There’s nothing to handle.', 'Now, maybe I would have a problem with this if it wasn’t for me and Joshua.', 'Y’know, they’re not gonna get married anyway!']",89,4,20,"[7, 8, 9]","909,910,911"
2,Rachel,"['neutral', 'anger']","00:09:48,337","0:09:55,136","['Now, maybe I would have a problem with this if it wasn’t for me and Joshua.', 'Y’know, they’re not gonna get married anyway!']",89,4,20,"[8, 9]","910,911"
2,Rachel,"['anger', 'disgust']","0:09:56,679","0:10:00,734","['Come on!', 'They rushed into this thing so fast it’s ridiculous!']",89,4,20,"[11, 12]","913,914"
2,Rachel,"['neutral', 'joy']","00:10:03,811","00:10:11,776","['And somewhere along the way, one of them is gonna realise what they’ve done and they’re call the whole thing off.', 'I’m telling ya, you’re gonna be dancing at my wedding before you’re dancing at there’s.']",89,4,20,"[15, 16]","917,918"
2,Phoebe,"['anger', 'neutral']","00:07:02,255","00:07:08,135","['This sucks!', 'All right, what’s my next present?']",92,4,22,"[0, 1]","921,922"
3,Joanna,"['fear', 'anger', 'sadness']","00:11:54,964","00:12:02,929","['Wait-wait-wait-wait-wait-wait-wait-wait!!', 'If you’re gonna get all sensitive about it!', 'I don’t want to lose you.']",94,4,9,"[5, 6, 7]","937,938,939"
3,Joanna,"['anger', 'sadness', 'neutral']","00:11:58,467","00:12:05,640","['If you’re gonna get all sensitive about it!', 'I don’t want to lose you.', 'What if I, create a position for you?']",94,4,9,"[6, 7, 8]","938,939,940"
3,Joanna,"['sadness', 'neutral', 'neutral']","00:12:01,554","00:12:08,810","['I don’t want to lose you.', 'What if I, create a position for you?', 'I’ll make you an assistant buyer in this department.']",94,4,9,"[7, 8, 9]","939,940,941"
3,Rachel,"['surprise', 'surprise', 'anger']","0:04:22,304","00:04:29,059","['What?', 'What are you talking about?!', ""You-you're the one who's been telling me to get over Ross and move on.""]",95,5,3,"[6, 7, 8]","954,955,956"
3,Rachel,"['surprise', 'anger', 'neutral']","00:04:23,638","00:04:31,395","['What are you talking about?!', ""You-you're the one who's been telling me to get over Ross and move on."", ""I'm moving on, and you're moving on with me.""]",95,5,3,"[7, 8, 9]","955,956,957"
3,Rachel,"['anger', 'neutral', 'neutral']","00:04:25,348","0:04:38,069","[""You-you're the one who's been telling me to get over Ross and move on."", ""I'm moving on, and you're moving on with me."", ""Come on, give me one good reason why you don't wanna go.""]",95,5,3,"[8, 9, 10]","956,957,958"
3,Ross,"['neutral', 'neutral', 'fear']","00:05:32,290","0:05:39,696","['Just your run-of-the-mill third nipple.', 'You can take it off.', 'Just slice that baby right off!']",100,3,23,"[1, 2, 3]","998,1000,1001"
2,Ross,"['neutral', 'fear']","0:05:36,085","0:05:39,696","['You can take it off.', 'Just slice that baby right off!']",100,3,23,"[2, 3]","1000,1001"
3,Chandler,"['anger', 'fear', 'fear']","0:15:08,991","00:15:15,371","['No!', 'That was a test!', 'In a couple of hours I’m gonna get really drunk and wanna call Kathy and you guys are gonna have to stop me!']",109,4,14,"[15, 16, 17]","1068,1069,1070"
2,Ross,"['joy', 'neutral']","00:08:11,449","00:08:19,789","[""Oh, that'd be great!"", ""Okay, but if you do, make sure it seems like you're there to see him, okay, and you're not like doing it as a favour to me.""]",113,1,10,"[8, 9]","1112,1113"
3,Chandler,"['neutral', 'surprise', 'neutral']","00:21:32,291","00:21:40,214","['Check this out.', 'It says here that there’s a place you can go to rent videos of all the museums!', '""It’s almost as good as being there.""']",114,4,21,"[0, 1, 2]","1116,1117,1118"
2,Chandler,"['surprise', 'neutral']","00:21:33,667","00:21:40,214","['It says here that there’s a place you can go to rent videos of all the museums!', '""It’s almost as good as being there.""']",114,4,21,"[1, 2]","1117,1118"
3,Joey,"['neutral', 'neutral', 'sadness']","0:14:53,475","00:14:58,354","[""Yeah, yeah, that's her."", ""But y'know what?"", ""Doesn't matter, I'm never gonna get to meet her anyway.""]",119,5,17,"[2, 3, 4]","1149,1150,1151"
2,Joey,"['neutral', 'sadness']","0:14:55,237","00:14:58,354","[""But y'know what?"", ""Doesn't matter, I'm never gonna get to meet her anyway.""]",119,5,17,"[3, 4]","1150,1151"
2,Monica,"['surprise', 'fear']","00:06:44,320","00:06:53,120","[""And y'know what, I just realised, in the last year I’ve only gone out with two guys, Richard and Julio."", 'You gotta help me out here, you gotta set me up, you gotta get me back in the game.']",122,3,18,"[0, 1]","1184,1185"
3,Pete,"['joy', 'disgust', 'neutral']","00:07:15,643","00:07:30,574","['Well, if that were true, I’d dating my Aunt Ruth.', 'And the two times we went out were just plain awkward.', 'Come on, you think she should go out with me, don’t you?']",122,3,18,"[8, 9, 10]","1192,1193,1194"
2,Pete,"['disgust', 'neutral']","00:07:20,064","00:07:30,574","['And the two times we went out were just plain awkward.', 'Come on, you think she should go out with me, don’t you?']",122,3,18,"[9, 10]","1193,1194"
3,Rachel,"['neutral', 'disgust', 'disgust']","0:07:28,364","00:07:46,631","['Well, I mean, are you sure you want to go out with her?', 'I mean that ain’t a pretty picture in the morning, y’know what I mean.', ""That wig all in disarray, and boobs flung over the night stand, y'know.""]",122,3,18,"[11, 12, 13]","1195,1196,1197"
3,Chandler,"['neutral', 'fear', 'fear']","00:08:06,694","0:08:14,966","['All right buddy, time to roll over.', 'No-no!', 'No, no-n-n-n-no!!']",127,4,20,"[0, 1, 2]","1246,1247,1248"
3,Chandler,"['fear', 'fear', 'disgust']","0:08:12,533","00:08:19,748","['No-no!', 'No, no-n-n-n-no!!', 'You are going to a clinic!']",127,4,20,"[1, 2, 3]","1247,1248,1249"
3,Chandler,"['fear', 'disgust', 'disgust']","0:08:13,555","00:08:32,469","['No, no-n-n-n-no!!', 'You are going to a clinic!', 'You’re going to a clinic, and a pyjama store!']",127,4,20,"[2, 3, 4]","1248,1249,1250"
3,Joey,"['anger', 'neutral', 'neutral']","0:10:38,638","0:10:45,614","['Uh, de-clawing cats.', 'Hey, tell ya what.', 'Let me walk you home.']",129,3,22,"[7, 8, 9]","1274,1275,1276"
3,Joey,"['neutral', 'neutral', 'anger']","0:10:42,767","00:10:49,939","['Hey, tell ya what.', 'Let me walk you home.', 'We’ll stop by every news stand and burn every copy of their Times and the Post.']",129,3,22,"[8, 9, 10]","1275,1276,1277"
2,Joey,"['neutral', 'anger']","0:10:43,768","00:10:49,939","['Let me walk you home.', 'We’ll stop by every news stand and burn every copy of their Times and the Post.']",129,3,22,"[9, 10]","1276,1277"
3,Ross,"['neutral', 'neutral', 'joy']","00:13:37,525","00:13:56,251","[""I'm one of the people who applied for the apartment."", ""And I-I realize that the competition is fierce but—I'm sorry."", ""I, I can't help but notice you're naked and  I applaud you.""]",137,5,14,"[2, 3, 4]","1336,1337,1338"
3,Ross,"['neutral', 'joy', 'neutral']","00:13:39,902","00:13:59,379","[""And I-I realize that the competition is fierce but—I'm sorry."", ""I, I can't help but notice you're naked and  I applaud you."", 'Man, I wish I was naked.']",137,5,14,"[3, 4, 5]","1337,1338,1339"
3,Ross,"['joy', 'neutral', 'joy']","00:13:54,625","00:14:03,049","[""I, I can't help but notice you're naked and  I applaud you."", 'Man, I wish I was naked.', 'I mean, this-this looks so great.']",137,5,14,"[4, 5, 6]","1338,1339,1340"
3,Ross,"['neutral', 'joy', 'neutral']","00:13:56,502","00:14:06,052","['Man, I wish I was naked.', 'I mean, this-this looks so great.', 'That is how God intended it.']",137,5,14,"[5, 6, 7]","1339,1340,1341"
2,Ross,"['joy', 'neutral']","00:13:59,630","00:14:06,052","['I mean, this-this looks so great.', 'That is how God intended it.']",137,5,14,"[6, 7]","1340,1341"
3,Rachel,"['anger', 'anger', 'joy']","00:11:52,795","0:12:02,388","['Okay, I have to tell you something that I have never admitted during our entire friendship!', 'But, when we were in high school I made out with James Farrell even when I knew that you liked him!', 'Wow, that feels so good to get off my chest!']",138,5,12,"[0, 1, 2]","1342,1343,1344"
3,Rachel,"['anger', 'joy', 'anger']","00:11:56,132","0:12:03,876","['But, when we were in high school I made out with James Farrell even when I knew that you liked him!', 'Wow, that feels so good to get off my chest!', 'Okay, you go!']",138,5,12,"[1, 2, 3]","1343,1344,1345"
2,Rachel,"['joy', 'anger']","0:12:00,511","0:12:03,876","['Wow, that feels so good to get off my chest!', 'Okay, you go!']",138,5,12,"[2, 3]","1344,1345"
3,Chandler,"['fear', 'fear', 'anger']","0:05:33,166","00:05:42,966","['Oh, uh..', ""I want her to think I might be in a restaurant.. y'know?"", ""I might have some kind of life, like I haven't been sitting around here honing for the past few hours.""]",145,1,20,"[4, 5, 6]","1393,1394,1395"
2,Chandler,"['fear', 'anger']","0:05:33,959","00:05:42,966","[""I want her to think I might be in a restaurant.. y'know?"", ""I might have some kind of life, like I haven't been sitting around here honing for the past few hours.""]",145,1,20,"[5, 6]","1394,1395"
3,Joey,"['disgust', 'disgust', 'anger']","00:05:57,148","0:06:02,654","['Man, we gotta do something about that guy.', 'This morning, I caught him looking into our apartment.', 'It creeps me out!']",145,1,20,"[10, 11, 12]","1399,1400,1401"
3,Joey,"['disgust', 'anger', 'anger']","00:05:58,983","0:06:04,181","['This morning, I caught him looking into our apartment.', 'It creeps me out!', ""I feel like I can't do stuff!""]",145,1,20,"[11, 12, 13]","1400,1401,1402"
